request_id,url,payload,label_x,detected_language,label_y,is_unsafe,payload_length,num_special_chars,url_depth,lang_match,precision_m1,recall_m1,fpr_m1,fnr_m1
9874859e,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=hazell&pwd=clam%21o&remember=on&B1=Entrar,0,javascript,0,0,59,0,5,1,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
18e6cb0a,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=sagers&pwd=C%21HuZAr&remember=on&B1=Entrar,0,javascript,0,0,60,0,5,1,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
df6fad7d,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=verde&pwd=en683%2467&remember=on&B1=Entrar,0,javascript,0,0,60,0,5,1,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
5790fb1f,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=nolie&pwd=nort%24e%D1a&remember=on&B1=Entrar,0,javascript,0,0,62,0,5,1,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
d2624e85,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=niu&pwd=raqu%24%ED9omo&remember=on&B1=Entrar,0,javascript,0,0,62,0,5,1,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
edffd4d1,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=timms&pwd=95%216a752a&remember=on&B1=Entrar,0,javascript,0,0,61,0,5,1,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
3d845557,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=bnrinfo&pwd=fasc%21es&remember=on&B1=Entrar,0,javascript,0,0,61,0,5,1,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
87aa25b9,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=abbai&pwd=incesta%24r&remember=on&B1=Entrar,0,javascript,0,0,61,0,5,1,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
edffd4d1,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=timms&pwd=95%216a752a&remember=on&B1=Entrar,0,javascript,0,0,61,0,5,1,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
5ea12da6,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=sunning&pwd=t%2174ador&remember=on&B1=Entrar,0,javascript,0,0,62,0,5,1,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
d03c1d0d,http://localhost:8080/tienda1/publico/vaciar.jsp,modo=registro&login=ronna&password=96r1ulg30&nombre=Berto&apellidos=Binder+Gene&email=limburg%40estoespresto.cd&dni=04607227M&direccion=C%2F+Cuenca+S%2FN+&ciudad=Chilches%2FXilxes&cp=18410&provincia=Baleares+%28Illes%29&ntc=4963506739861376&B1=Registrar,0,txt,0,0,253,0,5,0,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
0b250651,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=kulman&pwd=53R%24retar&remember=off&B1=Entrar,0,javascript,0,0,63,0,5,1,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
c8b0d253,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=yutaka&pwd=OficioS%24O&remember=off&B1=Entrar,0,javascript,0,0,63,0,5,1,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
0b250651,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=kulman&pwd=53R%24retar&remember=off&B1=Entrar,0,javascript,0,0,63,0,5,1,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
d33f472d,http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=myranda&pwd=%24vastedad&remember=off&B1=Entrar,0,javascript,0,0,64,0,5,1,0.9994,0.9412999999999999,0.00020977554017201594,0.05868421052631579
