url,payload,payload_len,alpha,non_alpha,attack_feature,label
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=hazell&pwd=clam%21o&remember=on&B1=Entrar,59,96.15384615,3.846153846,0.04,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=sagers&pwd=C%21HuZAr&remember=on&B1=Entrar,60,96.2962963,3.703703704,0.038461538,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=verde&pwd=en683%2467&remember=on&B1=Entrar,60,96.2962963,3.703703704,0.038461538,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=nolie&pwd=nort%24e%D1a&remember=on&B1=Entrar,62,96.2962963,3.703703704,0.038461538,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=niu&pwd=raqu%24%ED9omo&remember=on&B1=Entrar,62,96.2962963,3.703703704,0.038461538,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=timms&pwd=95%216a752a&remember=on&B1=Entrar,61,96.42857143,3.571428571,0.037037037,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=bnrinfo&pwd=fasc%21es&remember=on&B1=Entrar,61,96.42857143,3.571428571,0.037037037,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=abbai&pwd=incesta%24r&remember=on&B1=Entrar,61,96.42857143,3.571428571,0.037037037,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=timms&pwd=95%216a752a&remember=on&B1=Entrar,61,96.42857143,3.571428571,0.037037037,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=sunning&pwd=t%2174ador&remember=on&B1=Entrar,62,96.55172414,3.448275862,0.035714286,0
http://localhost:8080/tienda1/publico/vaciar.jsp,modo=registro&login=ronna&password=96r1ulg30&nombre=Berto&apellidos=Binder+Gene&email=limburg%40estoespresto.cd&dni=04607227M&direccion=C%2F+Cuenca+S%2FN+&ciudad=Chilches%2FXilxes&cp=18410&provincia=Baleares+%28Illes%29&ntc=4963506739861376&B1=Registrar,253,96.55172414,3.448275862,0.035714286,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=kulman&pwd=53R%24retar&remember=off&B1=Entrar,63,96.66666667,3.333333333,0.034482759,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=yutaka&pwd=OficioS%24O&remember=off&B1=Entrar,63,96.66666667,3.333333333,0.034482759,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=kulman&pwd=53R%24retar&remember=off&B1=Entrar,63,96.66666667,3.333333333,0.034482759,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=myranda&pwd=%24vastedad&remember=off&B1=Entrar,64,96.77419355,3.225806452,0.033333333,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=conroy7&pwd=nordes%21tal&remember=off&B1=Entrar,65,96.875,3.125,0.032258065,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=afkham&pwd=o%24ficinesca&remember=off&B1=Entrar,65,96.875,3.125,0.032258065,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=andrease&pwd=01E9%246D5l7&remember=on&B1=Entrar,65,96.875,3.125,0.032258065,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=mariele&pwd=De%24liCtIvo&remember=off&B1=Entrar,65,96.875,3.125,0.032258065,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=zhiyong&pwd=cha%249i74r0&remember=off&B1=Entrar,65,96.875,3.125,0.032258065,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=delila&pwd=ipe%24cacuana&remember=off&B1=Entrar,65,96.875,3.125,0.032258065,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=conroy7&pwd=nordes%21tal&remember=off&B1=Entrar,65,96.875,3.125,0.032258065,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=raudres&pwd=s%21u2ceP7ivo&remember=off&B1=Entrar,66,96.96969697,3.03030303,0.03125,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=krystall&pwd=EnSaCad%24oRa&remember=on&B1=Entrar,66,96.96969697,3.03030303,0.03125,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=guillory&pwd=Arme%21LlUElA&remember=on&B1=Entrar,66,96.96969697,3.03030303,0.03125,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=jehovah&pwd=%24amarulencia&remember=off&B1=Entrar,67,97.05882353,2.941176471,0.03030303,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=clipsham5&pwd=lIMpi%24a%FA%F1as&remember=off&B1=Entrar,72,97.14285714,2.857142857,0.029411765,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=fadlalla&pwd=F09%24M3nATriz&remember=off&B1=Entrar,68,97.14285714,2.857142857,0.029411765,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=lehar&pwd=78102d84%21am1nte&remember=off&B1=Entrar,68,97.14285714,2.857142857,0.029411765,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=ursala&pwd=plu1bagin%E1%21ceo&remember=off&B1=Entrar,70,97.14285714,2.857142857,0.029411765,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=smithdea&pwd=lucembu%24rgu%E9s&remember=off&B1=Entrar,71,97.22222222,2.777777778,0.028571429,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=smithdea&pwd=lucembu%24rgu%E9s&remember=off&B1=Entrar,71,97.22222222,2.777777778,0.028571429,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=leanne&pwd=%24embrutecimiento&remember=off&B1=Entrar,70,97.2972973,2.702702703,0.027777778,0
http://localhost:8080/tienda1/miembros/fotos.jsp,modo=registro&login=eva&password=animador%21a&nombre=Alonso&apellidos=Chanes+Galvan&email=congregation%40saludyfitness.pm&dni=08109487D&direccion=C%2F+Era+Val+D%27aran+S%2FN%2C+7%3FE&ciudad=Benabarre&cp=43440&provincia=Salamanca&ntc=3685717385941815&B1=Registrar,262,97.36842105,2.631578947,0.027027027,0
http://localhost:8080/tienda1/publico/caracteristicas.jsp,modo=entrar&login=clarette&pwd=78102d84%21am1nte&remember=off&B1=Entrar,71,97.36842105,2.631578947,0.027027027,0
http://localhost:8080/tienda1/publico/vaciar.jsp,modo=registro&login=ezri&password=mo%21ralidad&nombre=Isaciar&apellidos=Foixenc+Illanes&email=renan1%40fichajes.nom.sd&dni=75730563G&direccion=C%2F+Echegaray+S%2FN%2C+&ciudad=Chueca&cp=23628&provincia=Alicante&ntc=0106099240126772&B1=Registrar,243,97.81021898,2.189781022,0.02238806,0
